Employee _ID,Name,Department,Job _Role,Performance _Score,KPI _Score,Attendance ,Peer _Rating,Task_ Completion ,Work _Hours _Logged,Manager _Feedback,Training _Hours,Promotion _Eligibility
376063,Manikya Badami,Sales,Sales Executive,61,91.03,,4.5,78.19,42,3.7,18,No
810690,Zara Mahal,Marketing,Marketing Executive,91,83.36,78.45,4.7,71.39,46,4.5,15,Yes
520956,Sana Gera,Finance,Accountant,100,65.39,99.5,4.4,80.2,51,3.5,7,No
202996,Zoya Wadhwa,Marketing,Content Strategist,100,82.9,79.83,4.3,71.51,43,5,9,Yes
383410,Baiju Doctor,Sales,Sales Executive,80,90.9,89.92,3.7,78.03,51,3.1,29,No
865548,Charvi Chakrabarti,HR,Employee Relations,53,72.43,82.52,5,70.93,35,4.7,4,No
302189,Anahi Kari,Sales,Business Development,59,76.14,79.21,4.9,93.45,49,3.2,16,No
907341,Kavya Kulkarni,IT,Cybersecurity Specialist,98,94.8,93.79,5,83.05,53,3.3,9,No
275552,Trisha Bir,Sales,Account Manager,83,80.59,76.16,4.5,97.62,37,3.7,23,No
745670,Shray Kaul,HR,HR Manager,70,73.82,91.44,4.5,84.12,51,4.2,18,No
374239,Jhanvi Ghosh,Sales,Business Development,75,60.73,90.2,3.4,91.53,35,4.8,3,No
903729,Emir Chaudhry,HR,HR Manager,73,82.23,78.43,4,92.26,44,4.7,12,No
231366,Purab Tara,HR,HR Manager,100,92.09,90.13,3.5,86.27,40,3.2,1,No
888390,Kashvi Bains,Sales,Business Development,95,66.64,94.68,4.2,92.61,50,4.3,17,Yes
378452,Mishti Shah,Finance,Auditor,60,67.86,75.87,4.1,78.95,38,3.4,5,No
786662,Umang Savant,IT,Data Analyst,81,63.41,83.64,3.6,80.15,48,3.9,1,No
453442,Rhea Loyal,HR,Recruitment Specialist,94,62.67,78.64,4.3,73.62,45,3.2,15,No
247543,Indrajit Shah,IT,Cybersecurity Specialist,65,62.14,81.18,3.8,79.31,41,4.3,29,No
760752,Madhup Chaudhari,Marketing,Marketing Executive,50,73.31,79.96,4.7,70.72,42,4.7,27,No
861299,Madhav Kara,HR,Recruitment Specialist,94,68.65,81.06,4,98.48,51,4.4,18,Yes
276598,Pari Batta,IT,Cybersecurity Specialist,70,66.04,79.06,4.9,92.33,48,3,30,No
897782,Chirag Bassi,Finance,Auditor,74,74.74,86.4,4.7,75.16,40,4.3,13,No
514230,Jayant Dixit,Sales,Account Manager,75,63.95,80.49,4.1,82.45,42,3.2,4,No
834049,Kismat Dora,Sales,Account Manager,83,64.87,79.25,3.4,84.48,54,3.7,6,No
181362,Lakshit Lanka,IT,Software Engineer,81,82.16,94.82,4.9,87,36,3,9,No
190571,Vidur Mani,Finance,Accountant,52,91.38,76.3,4.2,90.17,49,3.7,19,No
478699,Anahita Ratti,Marketing,SEO Specialist,66,72.15,89.63,3.7,79.63,49,4.6,30,No
892101,Sumer Mallick,Finance,Financial Analyst,68,80.43,90.09,4.8,84.64,51,3.9,12,No
268043,Aaina Swaminathan,Finance,Financial Analyst,90,82.5,80.84,4.1,90.53,49,4.6,1,Yes
108201,Nitara Saha,Sales,Sales Executive,77,70.93,94.01,4.2,96.69,53,4.1,8,No
431608,Yuvraj  Kota,Marketing,SEO Specialist,52,89.09,95.21,3.8,74.09,55,4,13,No
302120,Uthkarsh Bhakta,IT,Cybersecurity Specialist,95,63.18,98.11,4.7,98.39,36,3.3,30,No
949655,Hiran Sharma,HR,Recruitment Specialist,97,73.85,89.07,4.1,98.64,53,3.2,1,No
999957,Rhea Handa,Finance,Financial Analyst,68,92.79,77.28,4.1,96.44,51,4.4,3,No
853352,Lakshay Rout,HR,HR Manager,86,94.22,92.13,3.8,94.42,45,4.7,17,Yes
972885,Ishita Dhillon,Marketing,Marketing Executive,70,64.1,85.82,4.9,79.79,53,3.4,11,No
692055,Hazel Choudhary,HR,Recruitment Specialist,96,76.86,78.28,4.5,98.51,41,3.5,23,No
691847,Eva Khanna,Marketing,Marketing Executive,82,65.76,95.83,3.2,88.84,55,4,28,No
325523,Mishti Krishnan,IT,Software Engineer,88,62.97,81.47,3.8,74.39,36,3.4,3,No
529211,Kiaan Dutta,IT,Cybersecurity Specialist,73,91.15,90.92,4.7,85.23,52,4.8,19,No
748631,Onkar Rama,HR,HR Manager,66,94.05,83.04,3.8,85.8,46,4.2,17,No
352450,Mishti Chacko,IT,Cybersecurity Specialist,73,94.97,96.7,3.5,81.31,39,3.8,7,No
597949,Shaan Basu,HR,HR Manager,97,79.07,86.59,3.1,90.24,39,4.2,27,Yes
538851,Alia Sidhu,Sales,Business Development,89,77.14,99.3,4.9,84.05,38,3.4,15,No
982166,Rohan Bala,Finance,Accountant,97,76.97,95.4,3.5,70.93,48,4.2,15,Yes
891328,Nishith Koshy,IT,Data Analyst,64,84.34,97.17,3.3,92.24,46,4.9,26,No
976367,Nishith Kibe,Finance,Financial Analyst,75,74.44,87.56,4.2,85.01,50,3.5,27,No
968990,Badal Mani,HR,Employee Relations,65,64.87,90.97,3.2,86.54,50,4.6,17,No
675019,Devansh Chander,Finance,Auditor,50,92.85,75.92,3.1,95.35,52,3.8,6,No
326885,Kiaan Goswami,IT,Cybersecurity Specialist,69,71.13,96.81,4.8,75.48,48,4.8,5,No
803681,Vritika Kala,Sales,Account Manager,51,79.04,76.3,3.5,87.92,53,3.5,8,No
525050,Mahika Saxena,Marketing,Marketing Executive,55,71.99,98.29,4.9,97.9,37,3.6,25,No
603407,Kavya Shah,HR,Employee Relations,56,75.28,76.55,4.3,95.42,41,3.1,30,No
211921,Pari Zacharia,HR,Employee Relations,62,75.99,83.45,5,94.67,39,4.9,14,No
582539,Ira Iyengar,HR,HR Manager,69,89.6,77.11,4.9,89.4,45,4.9,16,No
713340,Tanya Taneja,Finance,Financial Analyst,100,86.58,75.08,3.6,70.37,50,4,3,No
162959,Tiya Mannan,Sales,Account Manager,99,70.02,79.34,3.4,96.43,38,3.4,14,No
692057,Vritika Verma,Marketing,Content Strategist,52,66.63,91.34,3.2,99.5,43,4.8,8,No
886392,Heer Kale,Finance,Accountant,87,81.62,75.18,3.9,87.27,46,4.2,4,Yes
311713,Shanaya Krishnan,Finance,Financial Analyst,69,60.63,90.4,4.3,89.77,51,3.9,17,No
420151,Anya Wadhwa,Finance,Auditor,60,87.52,97.52,3.9,70.66,51,4.6,8,No
690698,Devansh Tandon,Marketing,Marketing Executive,66,73.3,82.1,3.8,81.2,38,4.4,2,No
978856,Vritika Walla,Sales,Account Manager,65,93.11,84.62,4.3,91.25,39,3.7,13,No
171922,Mohanlal Kari,Marketing,SEO Specialist,77,73.74,88.29,3.3,99.22,42,4.1,13,No
978968,Kiaan Bora,Marketing,Content Strategist,86,79.1,98.03,4,99.26,52,4.1,22,Yes
560366,Siya Ramakrishnan,HR,Recruitment Specialist,83,91.48,96.91,4.8,97.58,49,3.4,14,No
168956,Kaira Golla,Finance,Accountant,92,72.69,99.03,4.1,98.73,54,4.5,10,Yes
654455,Aarna Saxena,IT,Software Engineer,71,62.39,75.49,4.6,80.84,38,3.1,5,No
727177,Siya Brar,Finance,Auditor,53,61.01,93.18,4.7,84.28,50,3.2,12,No
553994,Jayan Bora,Sales,Account Manager,75,69.36,87.12,4.8,82.27,44,4.4,0,No
474749,Seher Hora,IT,Data Analyst,73,88.58,78.42,3.8,72.05,52,4.8,16,No
404381,Anahi Bakshi,Marketing,Content Strategist,83,86.51,78.79,4.9,99.48,43,4.2,19,No
149475,Nitara Dhaliwal,Finance,Financial Analyst,67,62.85,76.6,3.8,71.82,52,3.2,24,No
165487,Lakshit Kibe,HR,Recruitment Specialist,85,73.57,85.75,3.8,71.09,51,3.9,2,No
618249,Pihu Sane,Marketing,SEO Specialist,64,79.48,98.75,4.6,89.46,44,4,21,No
132554,Aaryahi Krishna,Finance,Accountant,92,89.37,95.72,4.8,70.93,45,3.9,3,No
995697,Divit Kata,Sales,Business Development,52,60.46,92.52,4.6,87.16,49,3.5,18,No
709737,Saanvi Chatterjee,Sales,Business Development,58,66.35,77.4,3.9,71.62,42,4,15,No
292420,Baiju Chaudhuri,Marketing,Content Strategist,61,84.44,84.67,4.6,79.94,44,3.4,20,No
549479,Lakshay Seshadri,HR,Employee Relations,69,73.67,89.24,4.3,72.27,41,3.3,16,No
925538,Hridaan Gour,Finance,Accountant,73,73.41,95.83,4,97.73,37,3.7,18,No
948763,Darshit Baral,HR,HR Manager,91,93.43,88.25,4.4,97.58,50,3.6,19,No
314725,Miraya Mani,IT,Software Engineer,89,92.41,96.04,3.5,93.89,44,3.7,7,No
429616,Vivaan Shan,Marketing,Marketing Executive,100,76.05,83.95,4.1,73.2,50,4.1,23,Yes
774009,Mamooty Bakshi,Finance,Accountant,59,61.11,78.26,3,96.55,35,3.1,12,No
317578,Jivika Bhalla,HR,Recruitment Specialist,60,92.2,96.47,4,99.65,45,4.3,29,No
306725,Divyansh Goyal,Sales,Account Manager,68,91.06,84.69,3.5,76.79,46,3.2,13,No
485549,Bhavin Setty,HR,Recruitment Specialist,65,67.41,94.3,4.4,79.77,47,3,30,No
331817,Yuvaan Mani,Sales,Business Development,68,79.92,99.5,4.6,82.04,54,3.4,11,No
114099,Advik Sinha,Marketing,Marketing Executive,85,93.7,77.04,3.1,70.18,48,4.6,26,No
139080,Devansh Kothari,HR,Employee Relations,100,92.56,93.63,4,94.87,50,3.8,2,No
305887,Inaaya  Sha,Finance,Accountant,81,80.86,75.29,3.3,79.25,40,4.2,29,No
639096,Aniruddh Mangal,Sales,Account Manager,97,83.83,82.95,5,82.2,53,4.7,29,Yes
262442,Divyansh Chandran,HR,Recruitment Specialist,93,89.27,77.43,3.9,80.2,41,3.4,30,No
710432,Trisha Dara,HR,Employee Relations,65,61.39,88.39,4.8,99.38,35,5,2,No
438030,Mishti Ravi,Finance,Accountant,87,84.58,97.31,4.6,74.96,52,4.4,6,Yes
967292,Neysa Chawla,Marketing,Content Strategist,67,89.39,87.22,4.2,97.04,41,3,30,No
840198,Nirvaan Bali,IT,Cybersecurity Specialist,71,74.32,89.62,4.1,87.45,53,3.7,22,No
158146,Divit Bhalla,IT,Software Engineer,73,94.09,84.21,3.6,74.29,52,4,5,No
741554,Purab Srinivas,Marketing,Content Strategist,70,83.44,92.82,4.5,80.9,39,3.2,9,No
594881,Vihaan Goda,IT,Software Engineer,95,66.14,93.46,3.3,92.86,35,4,20,No
794196,Indrans Bal,HR,Recruitment Specialist,69,88.67,96.95,3.4,78.69,39,3.5,10,No
731647,Raunak Kothari,Finance,Auditor,51,67.04,88.21,3.3,70.57,40,3.4,9,No
818673,Yasmin Rastogi,Marketing,SEO Specialist,74,74.62,87.29,4.7,78.31,53,4.4,9,No
336865,Manikya Choudhary,Sales,Account Manager,89,66.98,79.44,4.1,93.99,49,4.9,25,Yes
129211,Raunak Sodhi,Finance,Accountant,55,63.76,78.07,4.4,96.11,43,3.3,29,No
395943,Ivan Mallick,Marketing,SEO Specialist,100,77.85,98.96,4.9,99.4,54,4.4,28,Yes
675021,Damini Bala,Marketing,Marketing Executive,53,91.27,92.06,4.3,73.77,49,4.7,27,No
887129,Samar Sanghvi,IT,Software Engineer,85,89.12,99.83,4.3,89.43,39,3.6,27,No
830319,Keya Brar,Marketing,Marketing Executive,95,81.37,88.09,4.2,81.42,50,3.4,20,No
918541,Divit Ravel,Finance,Accountant,80,93.92,96.33,4,79.26,35,5,24,No
337244,Ela Gole,Sales,Sales Executive,89,68.59,93.37,3.6,88.01,42,4,29,No
346485,Dhruv Bali,IT,Data Analyst,78,64.88,75.76,4,82.66,36,4.1,25,No
568048,Jivin Lanka,HR,Employee Relations,87,72.71,91.81,3.2,70.53,37,4.3,18,Yes
689881,Lavanya Sengupta,Sales,Business Development,69,68.51,99.85,4,82.67,49,4.8,23,No
920549,Vidur Vala,Marketing,Marketing Executive,63,72.34,91.38,3.3,92.85,40,4.5,10,No
684377,Anahita Wadhwa,HR,Employee Relations,68,88.79,98.65,4.8,82.72,36,4.9,30,No
809194,Advika Grewal,Finance,Financial Analyst,60,74.86,80.45,3.9,81.33,46,3.7,29,No
373287,Ojas Halder,Finance,Accountant,61,66.01,93.02,4.3,93.13,48,3.8,10,No
348494,Suhana Deep,Marketing,Content Strategist,82,91.11,87.16,4.9,97.63,39,4.3,3,No
991106,Hazel Subramanian,HR,Employee Relations,77,83.47,77.45,3.5,95.55,51,4.4,15,No
434736,Mishti Gaba,Marketing,SEO Specialist,59,62.49,78.74,3.5,89.19,35,4.9,4,No
300291,Dhanush Shukla,Finance,Auditor,87,82.84,83.2,4.3,75.63,49,4.4,10,Yes
930682,Veer Bhasin,Sales,Business Development,88,63.61,84.95,4.9,89.8,41,4.5,28,Yes
872547,Lakshit Rout,Finance,Financial Analyst,63,89.11,82.6,4.9,96.99,45,4.6,5,No
137227,Kashvi Chana,Sales,Sales Executive,80,73.94,83.52,4.2,85.29,43,3.7,4,No
492346,Samarth Varughese,HR,Recruitment Specialist,91,84.47,89.53,4.5,86.93,44,4.7,11,Yes
104894,Arhaan Raman,Marketing,Marketing Executive,82,85.32,84.22,4.3,98.69,55,3.6,23,No
574980,Eshani Soman,IT,Data Analyst,76,72.37,80.74,3.7,96.2,53,4.2,0,No
938510,Nakul Madan,HR,HR Manager,83,61.97,93.79,4.2,86.91,53,3,26,No
914691,Aradhya Handa,Sales,Business Development,94,70.22,81.05,4.1,98.95,41,3.3,16,No
959287,Mishti Sarin,HR,Employee Relations,55,61.91,96.05,3.5,95.43,52,4.1,6,No
657468,Zoya Som,HR,Employee Relations,70,64.93,99.55,4.9,74.63,37,3.8,4,No
251209,Mannat Bakshi,Finance,Financial Analyst,57,64.03,83.62,3.6,73.33,52,3.7,29,No
627672,Keya Butala,Finance,Accountant,68,69.35,81.57,4.6,93.75,45,4.9,14,No
283291,Alia Sawhney,IT,Data Analyst,64,66.32,93.61,4.5,70.27,52,4.4,2,No
366737,Vritika Khalsa,Marketing,Content Strategist,96,71.52,80.62,4.1,83.72,37,3.2,30,No
722297,Neelofar Keer,Sales,Account Manager,87,93.59,76.5,4,86.67,50,4,29,No
